Link_Text,Link_URL
login,https://connect.detik.com/oauth/authorize?clientId=10027&redirectUrl=https%3A%2F%2Fwww.cnnindonesia.com%2Fauthorize%3Fu%3Dhttps%3A%2F%2Fwww.cnnindonesia.com%2F&backURL=https%3A%2F%2Fwww.cnnindonesia.com%2F
"

",https://www.cnnindonesia.com/
Home,https://www.cnnindonesia.com/
"
                    Nasional                ",https://www.cnnindonesia.com/nasional
 Politik ,https://www.cnnindonesia.com/nasional/politik
 Hukum & Kriminal ,https://www.cnnindonesia.com/nasional/hukum-kriminal
 Peristiwa ,https://www.cnnindonesia.com/nasional/peristiwa
 Pilkada 2024 ,https://www.cnnindonesia.com/pemilu2024
 Info Politik ,https://www.cnnindonesia.com/nasional/info-politik
"





",#
"





",#
"





",#
"
                    Internasional                ",https://www.cnnindonesia.com/internasional
 Asean ,https://www.cnnindonesia.com/internasional/asean
 Asia Pasifik ,https://www.cnnindonesia.com/internasional/asia-pasifik
 Timur Tengah ,https://www.cnnindonesia.com/internasional/timur-tengah
 Eropa Amerika ,https://www.cnnindonesia.com/internasional/eropa-amerika
"





",#
"





",#
"





",#
"
                    Ekonomi                ",https://www.cnnindonesia.com/ekonomi
 Keuangan ,https://www.cnnindonesia.com/ekonomi/keuangan
 Energi ,https://www.cnnindonesia.com/ekonomi/energi
 Bisnis ,https://www.cnnindonesia.com/ekonomi/bisnis
 Makro ,https://www.cnnindonesia.com/ekonomi/makro
 Corporate Action ,https://www.cnnindonesia.com/ekonomi/corporate-action
"





",#
"





",#
"





",#
"
                    Olahraga                ",https://www.cnnindonesia.com/olahraga
 Sepakbola ,https://www.cnnindonesia.com/olahraga/sepakbola
 Moto GP ,https://www.cnnindonesia.com/olahraga/moto-gp
 F1 ,https://www.cnnindonesia.com/olahraga/f1
 Raket ,https://www.cnnindonesia.com/olahraga/raket
"





",#
"





",#
"





",#
"
                    Teknologi                ",https://www.cnnindonesia.com/teknologi
 Teknologi Informasi ,https://www.cnnindonesia.com/teknologi/teknologi-informasi
 Sains ,https://www.cnnindonesia.com/teknologi/sains
 Telekomunikasi ,https://www.cnnindonesia.com/teknologi/telekomunikasi
 Climate ,https://www.cnnindonesia.com/teknologi/climate
"





",#
"





",#
"





",#
"
                    Otomotif                ",https://www.cnnindonesia.com/otomotif
 Tren ,https://www.cnnindonesia.com/otomotif/tren
 Mobil ,https://www.cnnindonesia.com/otomotif/mobil
 Motor ,https://www.cnnindonesia.com/otomotif/motor
 E-Vehicle ,https://www.cnnindonesia.com/otomotif/e-vehicle
 Commercial ,https://www.cnnindonesia.com/otomotif/commercial
 Info Otomotif ,https://www.cnnindonesia.com/otomotif/info-otomotif
"





",#
"





",#
"





",#
"
                    Hiburan                ",https://www.cnnindonesia.com/hiburan
 Film ,https://www.cnnindonesia.com/hiburan/film
 Musik ,https://www.cnnindonesia.com/hiburan/musik
 Seleb ,https://www.cnnindonesia.com/hiburan/seleb
 Seni Budaya ,https://www.cnnindonesia.com/hiburan/seni-budaya
 Music At Newsroom ,https://www.cnnindonesia.com/musicatnewsroom
"





",#
"





",#
"





",#
"
                    Gaya Hidup                ",https://www.cnnindonesia.com/gaya-hidup
 Health ,https://www.cnnindonesia.com/gaya-hidup/health
 Food ,https://www.cnnindonesia.com/gaya-hidup/food
 Travel ,https://www.cnnindonesia.com/gaya-hidup/travel
 Trends ,https://www.cnnindonesia.com/gaya-hidup/trends
"





",#
"





",#
"





",#
CNN TV,https://www.cnnindonesia.com/tv
"
                                Ragam 
",#
Foto,https://www.cnnindonesia.com/foto
Video,https://www.cnnindonesia.com/video
Infografis,https://www.cnnindonesia.com/infografis
Indeks,https://www.cnnindonesia.com/indeks
Fokus,https://www.cnnindonesia.com/fokus
Kolom,https://www.cnnindonesia.com/kolom
Terpopuler,https://www.cnnindonesia.com/terpopuler
Kanal Pemilu Tepercaya,https://www.cnnindonesia.com/pemilu2024
Features,https://www.cnnindonesia.com/features
"

",#
"

Loading...

",#
"



  LIVE TV 



",https://www.cnnindonesia.com/tv
"

Cerita WNI Ikut Misa Paus Fransiskus di Timor Leste: RI Diistimewakan
Internasional
 Warga negara Indonesia membagikan pengalamannya selama mengikuti Misa Suci yang dipimpin Paus Fransiskus di Timor Leste pada Selasa (10/9). 






",https://www.cnnindonesia.com/internasional/20240910190558-106-1143095/cerita-wni-ikut-misa-paus-fransiskus-di-timor-leste-ri-diistimewakan
"







Paus Fransiskus di Timor Leste: 750 Ribu Warga Ikut Misa-Bujet Rp185 M

",https://www.cnnindonesia.com/internasional/20240910144647-113-1142993/paus-fransiskus-di-timor-leste-750-ribu-warga-ikut-misa-bujet-rp185-m
"







VIDEO: Antusiasme Warga Timor Leste Sambut Misa Akbar Paus Fransiskus

",https://www.cnnindonesia.com/internasional/20240910150254-110-1142996/video-antusiasme-warga-timor-leste-sambut-misa-akbar-paus-fransiskus
"
 01 
Pansus Haji Bakal Ajak Polisi Panggil Menag Yaqut Usai 2 Kali Mangkir
Nasional
",https://www.cnnindonesia.com/nasional/20240910142747-617-1142974/pansus-haji-bakal-ajak-polisi-panggil-menag-yaqut-usai-2-kali-mangkir
"
 02 
Link Live Streaming Indonesia vs Australia di Kualifikasi Piala Dunia
Olahraga
",https://www.cnnindonesia.com/olahraga/20240910163223-142-1143046/link-live-streaming-indonesia-vs-australia-di-kualifikasi-piala-dunia
"
 03 
Susunan Pemain Timnas Indonesia vs Australia: Marselino-Hubner Starter
Olahraga
",https://www.cnnindonesia.com/olahraga/20240910170911-142-1143058/susunan-pemain-timnas-indonesia-vs-australia-marselino-hubner-starter
"
 04 
Bambang Pacul Ketua Tim Sukses Andika Perkasa-Hendi di Pilgub Jateng
Nasional
",https://www.cnnindonesia.com/nasional/20240910183053-617-1143079/bambang-pacul-ketua-tim-sukses-andika-perkasa-hendi-di-pilgub-jateng
