Link_Text,Link_URL
"



",#
"

 detikcom
 ",https://www.detik.com/?tagfrom=framebar
"



 Terpopuler
 ",https://www.detik.com/terpopuler
"



 Live TV
 ",https://20.detik.com/live/
"



 Kirim Tulisan
 ",https://news.detik.com/kolom/kirim/
"



 detikPilkada
 NEW
",https://www.detik.com/pilkada
"



 detikNews
 
 ",https://news.detik.com/
"



 detikFinance
 
 ",https://finance.detik.com/
"



 detikInet
 
 ",https://inet.detik.com/
"



 detikHot
 
 ",https://hot.detik.com/
"



 detikSport
 
 ",https://sport.detik.com/
"



 Sepakbola
 
 ",https://sport.detik.com/sepakbola
"



 detikOto
 
 ",https://oto.detik.com/
"



 detikTravel
 
 ",https://travel.detik.com/
"



 detikFood
 
 ",https://food.detik.com/
"



 detikHealth
 
 ",https://health.detik.com/
"



 Wolipop
 
 ",https://wolipop.detik.com
"



 DetikX
 
 ",https://news.detik.com/x/
"



 20Detik
 
 ",https://20.detik.com
"



 detikFoto
 
 ",https://foto.detik.com
"



 detikEdu
 
 ",https://www.detik.com/edu/
"



 detikHikmah
 
 ",https://www.detik.com/hikmah/
"



 detikProperti
 
 ",https://www.detik.com/properti/
"



 detikPop
 NEW
",https://www.detik.com/pop/
"



 detikJateng
 
 ",https://www.detik.com/jateng
"



 detikJatim
 
 ",https://www.detik.com/jatim
"



 detikJabar
 
 ",https://www.detik.com/jabar
"



 detikSulsel
 
 ",https://www.detik.com/sulsel
"



 detikSumut
 
 ",https://www.detik.com/sumut
"



 detikBali
 
 ",https://www.detik.com/bali
"



 detikSumbagsel
 
 ",https://www.detik.com/sumbagsel
"



 detikJogja
 NEW
",https://www.detik.com/jogja
"



 Pasang Mata
 
 ",https://pasangmata.detik.com/
"



 adsmart
 
 ",https://adsmart.detik.com/
"



 detikEvent
 
 ",https://event.detik.com
"



 Trans Snow World
 
 ",https://www.transentertainment.com/transsnow
"



 Trans Studio
 
 ",https://www.transentertainment.com/transstudio
"



 berbuatbaik.id
 
 ",https://www.berbuatbaik.id/?utm_source=detikcom&utm_medium=framebar&utm_campaign=layanan
"



 ziswafctarsa.id
 
 ",https://ziswafctarsa.id/
"



 Signature Awards
 NEW
",https://www.detik.com/signature-awards
"



 Bingkai.id
 NEW
",https://bingkai.id
"



 CNN Indonesia
 
 ",https://www.cnnindonesia.com
"



 CNBC Indonesia
 
 ",https://www.cnbcindonesia.com
"



 Hai Bunda
 
 ",https://www.haibunda.com
"



 InsertLive
 
 ",https://www.insertlive.com
"



 Beautynesia
 
 ",https://www.beautynesia.id
"



 Female Daily
 
 ",https://www.femaledaily.com
"



 CXO Media
 
 ",https://cxomedia.id
Loading... ,#
,https://sport.detik.com
"

",https://www.detik.com/
,https://sport.detik.com
"
                    Home                ",https://sport.detik.com/
"
                    MotoGP                ",https://sport.detik.com/moto-gp
"
                    Raket                ",https://sport.detik.com/raket
"
                    Formula 1                ",https://sport.detik.com/f1
"
                    Basket                ",https://sport.detik.com/basket
"
                    Sepakbola                ",https://sport.detik.com/sepakbola
"
                    Sport Lain                ",https://sport.detik.com/sport-lain
"
                    Foto Sport                ",https://sport.detik.com/foto
"
                    Video Sport                ",https://sport.detik.com/video
"
                    Infografis                ",https://sport.detik.com/infografis
"
                    Indeks                ",https://sport.detik.com/indeks
"
                    Most Popular
                                    ",https://www.detik.com/terpopuler/sport
"
                    G-Sport
                                    ",https://sport.detik.com/g-sport
"
                    Jadwal Badminton
                                    ",https://sport.detik.com/jadwal/raket
"
                    About The Game
                                    ",https://sport.detik.com/aboutthegame
"
 UPDATE
    ",https://sport.detik.com/
"

",#
"

 
",https://sport.detik.com/moto-gp/d-7533731/jorge-martin-blunder-di-san-marino-dibela-bezzecchi
"
                    Jorge Martin Blunder di San Marino, Dibela Bezzecchi                ",https://sport.detik.com/moto-gp/d-7533731/jorge-martin-blunder-di-san-marino-dibela-bezzecchi
"

 
",https://sport.detik.com/raket/d-7533973/hong-kong-open-2024-sabar-reza-singkirkan-ahsan-hendra
"
                    Hong Kong Open 2024: Sabar/Reza Singkirkan Ahsan/Hendra                ",https://sport.detik.com/raket/d-7533973/hong-kong-open-2024-sabar-reza-singkirkan-ahsan-hendra
"

 
",https://sport.detik.com/raket/d-7526117/kenapa-rinov-pitha-masih-absen-di-turnamen-bulutangkis
"
                    Kenapa Rinov/Pitha Masih Absen di Turnamen Bulutangkis?                ",https://sport.detik.com/raket/d-7526117/kenapa-rinov-pitha-masih-absen-di-turnamen-bulutangkis
"

 
",https://sport.detik.com/moto-gp/d-7531101/motogp-san-marino-2024-hujan-yang-bawa-berkah-untuk-marc-marquez
"
                    MotoGP San Marino 2024: Hujan yang Bawa Berkah untuk Marc Marquez                ",https://sport.detik.com/moto-gp/d-7531101/motogp-san-marino-2024-hujan-yang-bawa-berkah-untuk-marc-marquez
"

 
",https://sport.detik.com/raket/d-7532246/hong-kong-open-2024-ri-kirim-12-wakil-jonatan-gregoria-comeback
"
                    Hong Kong Open 2024: RI Kirim 12 Wakil, Jonatan & Gregoria Comeback                ",https://sport.detik.com/raket/d-7532246/hong-kong-open-2024-ri-kirim-12-wakil-jonatan-gregoria-comeback
"

 
",https://sport.detik.com/fotosport/d-7534257/voli-indoor-pon-xxi-ditunda-gegara-gor-belum-siap-dan-akses-berlumpur
"
                    Voli Indoor PON XXI Ditunda Gegara GOR Belum Siap dan Akses Berlumpur                ",https://sport.detik.com/fotosport/d-7534257/voli-indoor-pon-xxi-ditunda-gegara-gor-belum-siap-dan-akses-berlumpur
"
            Indeks Berita 
",https://sport.detik.com/indeks
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534157/china-harus-realistis-piala-dunia-masih-jauh
"
					'China Harus Realistis, Piala Dunia Masih Jauh'                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534157/china-harus-realistis-piala-dunia-masih-jauh
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534154/socceroos-berencana-permainkan-pressing-garuda
"
					Socceroos Berencana Permainkan Pressing Garuda                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534154/socceroos-berencana-permainkan-pressing-garuda
"



",https://20.detik.com/detikupdate/20240910-240910112/gbk-memerah-jelang-laga-indonesia-vs-australia
"
					GBK Memerah Jelang Laga Indonesia Vs Australia                ",https://20.detik.com/detikupdate/20240910-240910112/gbk-memerah-jelang-laga-indonesia-vs-australia
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534380/30-menit-jelang-indonesia-vs-australia-gbk-jadi-lautan-merah
"
					30 Menit Jelang Indonesia Vs Australia, GBK Jadi Lautan Merah                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534380/30-menit-jelang-indonesia-vs-australia-gbk-jadi-lautan-merah
"



",https://sport.detik.com/sepakbola/foto-sepakbola/d-7534307/suporter-timnas-indonesia-mulai-padati-gbk
"
					Suporter Timnas Indonesia Mulai Padati GBK                ",https://sport.detik.com/sepakbola/foto-sepakbola/d-7534307/suporter-timnas-indonesia-mulai-padati-gbk
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534152/indonesia-vs-australia-awas-garuda-socceroos-garang-di-markas-lawan
"
					Indonesia Vs Australia: Awas Garuda, Socceroos Garang di Markas Lawan                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534152/indonesia-vs-australia-awas-garuda-socceroos-garang-di-markas-lawan
